Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
75,Andy Campbell,eng ENG,FW,Middlesbrough,20,1979,25,16,1510,16.8,4,2,6,4,0,0,0,0,0.24,0.12,0.36,0.24,0.36,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Kevin Campbell,eng ENG,FW,Everton,29,1970,26,26,2340,26.0,12,6,18,12,0,0,2,0,0.46,0.23,0.69,0.46,0.69,Matches
77,Sol Campbell,eng ENG,"DF,FW",Tottenham,24,1974,29,29,2530,28.1,0,3,3,0,0,0,6,0,0.00,0.11,0.11,0.00,0.11,Matches
78,Stuart Campbell,sct SCO,MF,Leicester City,21,1977,4,1,182,2.0,0,1,1,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,Matches
79,Horacio Carbonari,ar ARG,DF,Derby County,25,1974,29,29,2555,28.4,2,0,2,2,0,0,10,0,0.07,0.00,0.07,0.07,0.07,Matches
80,Benito Carbone,it ITA,FW,Aston Villa,27,1971,29,24,1861,20.7,3,5,8,3,0,0,1,0,0.15,0.24,0.39,0.15,0.39,Matches
81,Benito Carbone,it ITA,FW,Sheffield Weds,27,1971,7,3,417,4.6,2,0,2,1,1,1,0,0,0.43,0.00,0.43,0.22,0.22,Matches
82,Stephen Carr,ie IRL,DF,Tottenham,22,1976,34,34,3060,34.0,3,3,6,3,0,0,6,0,0.09,0.09,0.18,0.09,0.18,Matches
83,Jamie Carragher,eng ENG,"DF,MF",Liverpool,21,1978,36,33,2987,33.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
